Accesion,Organism,Source
NC_055862.1,Vibrio phage ValB1MD-2,Vibrio phage ValB1MD-2
CP027716.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP029772.1,Stutzerimonas frequens,Stutzerimonas frequens
LN595475.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_014702151.1,Bipolaris victoriae FI3,Bipolaris victoriae FI3
CP022313.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP066801.1,Streptomyces sp. HSG2,Streptomyces sp. HSG2
CP101464.1,Janibacter sp. CX7,Janibacter sp. CX7
LN594824.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_065233.1,Prunus salicina,mitochondrion Prunus salicina
OX240841.1,Danio rerio,Danio rerio (zebrafish)
HQ349040.1,Pinus maximartinezii,Pinus maximartinezii
AF299302.1,Escherichia phage phiX174,Escherichia phage phiX174
CP027718.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP012378.1,Escherichia coli,Escherichia coli
MF389953.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
LN591098.1,Cyprinus carpio,Cyprinus carpio (common carp)
MH378442.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
CP027734.1,Pseudomonas sp. R1-43-08,Pseudomonas sp. R1-43-08
CP040438.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP026881.1,Pseudomonas sp. LG1D9,Pseudomonas sp. LG1D9
CP098414.1,Pantoea agglomerans,Pantoea agglomerans
AP024892.1,Vibrio pectenicida,Vibrio pectenicida
ON478173.1,Prunus yedoensis,mitochondrion Prunus yedoensis
AM235535.1,Tristaniopsis sp. Rutschmann 70,Tristaniopsis sp. Rutschmann 70
AP022632.1,Lotus japonicus,Lotus japonicus
LN591408.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182666.1,Fusarium graminearum,mitochondrion Fusarium graminearum (Gibberella zeae)
MG841936.1,Pinus nigra,Pinus nigra
LN590706.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753697.1,Escherichia phage phiX174,Escherichia phage phiX174
CP031364.1,Rhizobium sp. ZX09,Rhizobium sp. ZX09
AP024503.1,Pseudomonas protegens,Pseudomonas protegens
CP013254.1,Kocuria flava,Kocuria flava
LC183520.1,Dioon angustifolium,Dioon angustifolium
CP074376.1,Mycolicibacterium neoaurum,Mycolicibacterium neoaurum (Mycobacterium neoaurum)
MW186777.1,Fusarium sp.,mitochondrion Fusarium sp.
LT906662.1,Thermoanaerobacterium sp. RBIITD,Thermoanaerobacterium sp. RBIITD
CP036495.1,Pseudomonas viridiflava,Pseudomonas viridiflava
XR_007198979.1,Rhodamnia argentea,Rhodamnia argentea
CP010029.1,Yersinia entomophaga,Yersinia entomophaga
OL824850.1,Phytolacca acinosa,Phytolacca acinosa (food pokeweed)
LR813083.1,Pseudomonas putida,Pseudomonas putida
JQ764987.1,Escherichia phage phiX174,Escherichia phage phiX174
CP092411.1,Pseudomonas palleroniana,Pseudomonas palleroniana
XM_034844110.1,Vitis riparia,Vitis riparia (riverbank grape)
LN591168.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP015612.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP078563.1,Pseudomonas versuta,Pseudomonas versuta
LR782672.1,Phallusia mammillata,Phallusia mammillata
XR_002393993.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HE798556.1,Stenotrophomonas maltophilia D457,Stenotrophomonas maltophilia D457
ON478171.1,Prunus salicina,mitochondrion Prunus salicina
CP014127.2,Pantoea vagans,Pantoea vagans
LN594072.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW448460.1,Arachis hypogaea,mitochondrion Arachis hypogaea (peanut)
HQ349033.1,Pinus monophylla,Pinus monophylla
MF417876.1,uncultured Caudovirales phage,uncultured Caudovirales phage
CP072559.1,Pseudomonas sp. BYT-1,Pseudomonas sp. BYT-1
OV195202.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
XM_044801203.1,Cercospora kikuchii,Cercospora kikuchii
CP067038.1,Agrobacterium fabrum,Agrobacterium fabrum
XR_004152599.1,Punica granatum,Punica granatum (pomegranate)
CP003358.1,Mesorhizobium australicum WSM2073,Mesorhizobium australicum WSM2073
LN598313.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP014129.2,Pantoea vagans,Pantoea vagans
CP106693.1,Gossypium herbaceum,Gossypium herbaceum
KX545367.1,Hesperelaea palmeri,mitochondrion Hesperelaea palmeri
CP001394.1,Caldicellulosiruptor bescii DSM 6725,Caldicellulosiruptor bescii DSM 6725
ON478178.1,Prunus avium,mitochondrion Prunus avium (sweet cherry)
MZ066515.1,Glycyrrhiza uralensis,mitochondrion Glycyrrhiza uralensis
CP027719.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
CP077087.1,Pseudomonas monsensis,Pseudomonas monsensis
CP082346.1,Pantoea dispersa,Pantoea dispersa
OL824854.1,Phytolacca americana,Phytolacca americana (American pokeweed)
BK039015.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
OX327004.1,Geum urbanum,Geum urbanum
NC_046734.1,Xylaria hypoxylon,mitochondrion Xylaria hypoxylon
OX326968.1,Medicago arabica,Medicago arabica
CP100553.1,Pseudomonas hydrolytica,Pseudomonas hydrolytica
HG995369.1,Atethmia centrago,Atethmia centrago
NC_065234.1,Prunus sibirica,mitochondrion Prunus sibirica
LN590968.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008229519.1,Lactuca sativa,Lactuca sativa
CP027761.1,Pseudomonas sp. R11-23-07,Pseudomonas sp. R11-23-07
CP053544.1,Paenarthrobacter sp. YJN-5,Paenarthrobacter sp. YJN-5
NC_063722.1,Fusarium louisianense,mitochondrion Fusarium louisianense
CP048570.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XR_008229499.1,Lactuca sativa,Lactuca sativa
AP012032.2,Pantoea ananatis AJ13355,Pantoea ananatis AJ13355
CP045051.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP022298.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP025757.1,Citrobacter freundii complex sp. CFNIH2,Citrobacter freundii complex sp. CFNIH2
LC597777.1,synthetic construct,synthetic construct
CP048533.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP027747.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
LN590731.1,Cyprinus carpio,Cyprinus carpio (common carp)
